breakdown_row_id,dataset_type,timestamp_hour,date,hour_of_day,user_id,campaign_id,campaign_name,ad_set_id,ad_set_name,ad_id,ad_name,product_flavor,placement,device,geography,age_band,gender,audience_type,season,impressions,clicks,link_clicks,landing_page_views,sessions,bounce_rate,avg_session_duration,add_to_cart,initiate_checkout,checkout_completion,purchases,conversions,conversion_rate,spend,revenue
BR_A00001,active,2026-03-01 00:00:00,2026-03-01,0,USER_A00001,CAMP_META_ACTIVE_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Feed,mobile,Arizona,45-54,male,prospecting,spring,7,2,2,2,2,0.0,101.2,1,1,1,1,1,0.5,1.34,11.19
BR_A00002,active,2026-03-01 00:00:00,2026-03-01,0,USER_A00002,CAMP_META_ACTIVE_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Facebook Feed,desktop,Arizona,45-54,female,interest_based,spring,5,3,2,2,2,1.0,73.0,1,1,1,1,1,0.5,2.68,10.66
BR_A00003,active,2026-03-01 00:00:00,2026-03-01,0,USER_A00003,CAMP_META_ACTIVE_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Facebook Reels,mobile,Texas,35-44,male,prospecting,spring,5,3,3,3,3,0.0,115.4,0,0,0,0,0,0.0,3.01,0.0
BR_A00004,active,2026-03-01 00:00:00,2026-03-01,0,USER_A00004,CAMP_META_ACTIVE_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Instagram Feed,mobile,Nevada,25-34,male,website_visitors,spring,2,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2.35,0.0
BR_A00005,active,2026-03-01 00:00:00,2026-03-01,0,USER_A00005,CAMP_META_ACTIVE_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Facebook Reels,desktop,Arizona,25-34,female,prospecting,spring,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2.06,0.0
BR_A00006,active,2026-03-01 00:00:00,2026-03-01,0,USER_A00006,CAMP_META_ACTIVE_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Facebook Reels,desktop,California,18-24,female,lookalike,spring,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1.62,0.0
BR_A00007,active,2026-03-01 00:00:00,2026-03-01,0,USER_A00007,CAMP_META_ACTIVE_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Instagram Stories,mobile,Texas,18-24,male,retargeting,spring,3,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1.13,0.0
BR_A00008,active,2026-03-01 00:00:00,2026-03-01,0,USER_A00008,CAMP_META_ACTIVE_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Facebook Reels,mobile,California,35-44,male,interest_based,spring,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,3.32,0.0
BR_A00009,active,2026-03-01 00:00:00,2026-03-01,0,USER_A00009,CAMP_META_ACTIVE_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Instagram Feed,desktop,Arizona,25-34,male,interest_based,spring,2,2,2,1,1,1.0,59.9,0,0,0,0,0,0.0,3.17,0.0
BR_A00010,active,2026-03-01 01:00:00,2026-03-01,1,USER_A00010,CAMP_META_ACTIVE_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Stories,desktop,Nevada,18-24,male,lookalike,spring,6,2,2,1,1,0.98,30.1,0,0,0,0,0,0.0,1.18,0.0
BR_A00011,active,2026-03-01 01:00:00,2026-03-01,1,USER_A00011,CAMP_META_ACTIVE_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Feed,desktop,Nevada,18-24,male,website_visitors,spring,4,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,4.26,0.0
BR_A00012,active,2026-03-01 01:00:00,2026-03-01,1,USER_A00012,CAMP_META_ACTIVE_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Facebook Feed,mobile,Nevada,18-24,male,interest_based,spring,4,2,1,0,0,0.0,0.0,0,0,0,0,0,0.0,1.95,0.0
BR_A00013,active,2026-03-01 01:00:00,2026-03-01,1,USER_A00013,CAMP_META_ACTIVE_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Facebook Reels,mobile,Arizona,35-44,female,retargeting,spring,6,2,1,1,1,1.0,184.8,1,1,1,1,1,1.0,4.19,7.92
BR_A00014,active,2026-03-01 01:00:00,2026-03-01,1,USER_A00014,CAMP_META_ACTIVE_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Facebook Reels,desktop,Texas,18-24,female,prospecting,spring,6,3,3,2,2,0.0,77.0,1,0,0,0,0,0.0,0.62,0.0
BR_A00015,active,2026-03-01 01:00:00,2026-03-01,1,USER_A00015,CAMP_META_ACTIVE_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Facebook Feed,desktop,Texas,18-24,female,website_visitors,spring,1,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2.43,0.0
BR_A00016,active,2026-03-01 01:00:00,2026-03-01,1,USER_A00016,CAMP_META_ACTIVE_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Instagram Stories,mobile,Nevada,35-44,female,website_visitors,spring,6,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.72,0.0
BR_A00017,active,2026-03-01 01:00:00,2026-03-01,1,USER_A00017,CAMP_META_ACTIVE_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Instagram Stories,desktop,Nevada,35-44,female,interest_based,spring,4,3,2,2,2,0.0,61.8,0,0,0,0,0,0.0,3.92,0.0
BR_A00018,active,2026-03-01 01:00:00,2026-03-01,1,USER_A00018,CAMP_META_ACTIVE_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Facebook Reels,desktop,California,35-44,female,lookalike,spring,3,2,2,2,2,0.96,19.6,0,0,0,0,0,0.0,1.86,0.0
BR_A00019,active,2026-03-01 02:00:00,2026-03-01,2,USER_A00019,CAMP_META_ACTIVE_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Facebook Reels,mobile,Nevada,25-34,male,prospecting,spring,4,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2.91,0.0
BR_A00020,active,2026-03-01 02:00:00,2026-03-01,2,USER_A00020,CAMP_META_ACTIVE_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Facebook Reels,desktop,Texas,35-44,female,retargeting,spring,4,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1.45,0.0
BR_A00021,active,2026-03-01 02:00:00,2026-03-01,2,USER_A00021,CAMP_META_ACTIVE_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Stories,desktop,Arizona,18-24,female,website_visitors,spring,5,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,4.77,0.0
BR_A00022,active,2026-03-01 02:00:00,2026-03-01,2,USER_A00022,CAMP_META_ACTIVE_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Facebook Reels,desktop,Texas,18-24,female,website_visitors,spring,5,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,1.38,0.0
BR_A00023,active,2026-03-01 02:00:00,2026-03-01,2,USER_A00023,CAMP_META_ACTIVE_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Instagram Feed,mobile,Arizona,45-54,female,website_visitors,spring,6,1,1,1,1,0.0,178.6,0,0,0,0,0,0.0,0.8,0.0
BR_A00024,active,2026-03-01 02:00:00,2026-03-01,2,USER_A00024,CAMP_META_ACTIVE_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Instagram Feed,mobile,California,25-34,male,prospecting,spring,2,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,3.3,0.0
BR_A00025,active,2026-03-01 02:00:00,2026-03-01,2,USER_A00025,CAMP_META_ACTIVE_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Instagram Feed,desktop,Arizona,18-24,female,retargeting,spring,5,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2.38,0.0
BR_A00026,active,2026-03-01 02:00:00,2026-03-01,2,USER_A00026,CAMP_META_ACTIVE_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Facebook Reels,desktop,Texas,18-24,female,retargeting,spring,6,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.32,0.0
BR_A00027,active,2026-03-01 02:00:00,2026-03-01,2,USER_A00027,CAMP_META_ACTIVE_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Instagram Feed,desktop,California,25-34,female,prospecting,spring,2,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.88,0.0
BR_A00028,active,2026-03-01 03:00:00,2026-03-01,3,USER_A00028,CAMP_META_ACTIVE_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Stories,desktop,Texas,18-24,female,retargeting,spring,3,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2.57,0.0
BR_A00029,active,2026-03-01 03:00:00,2026-03-01,3,USER_A00029,CAMP_META_ACTIVE_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Stories,mobile,Texas,18-24,female,interest_based,spring,3,3,2,2,2,1.0,46.8,1,1,0,0,0,0.0,3.87,0.0
