breakdown_row_id,dataset_type,timestamp_hour,date,hour_of_day,user_id,campaign_id,campaign_name,ad_set_id,ad_set_name,ad_id,ad_name,product_flavor,placement,device,geography,age_band,gender,audience_type,season,impressions,clicks,link_clicks,landing_page_views,sessions,bounce_rate,avg_session_duration,add_to_cart,initiate_checkout,checkout_completion,purchases,conversions,conversion_rate,spend,revenue
BR_H00001,historical,2025-11-15 00:00:00,2025-11-15,0,USER_H00001,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Facebook Reels,mobile,Texas,35-44,male,interest_based,fall,2,2,1,1,1,0.99,170.3,0,0,0,0,0,0.0,1.0,0.0
BR_H00002,historical,2025-11-15 00:00:00,2025-11-15,0,USER_H00002,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Stories,desktop,Arizona,18-24,male,retargeting,fall,5,2,2,1,1,0.0,94.8,0,0,0,0,0,0.0,1.54,0.0
BR_H00003,historical,2025-11-15 00:00:00,2025-11-15,0,USER_H00003,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Facebook Reels,mobile,Nevada,18-24,female,lookalike,fall,1,1,1,0,0,0.0,0.0,0,0,0,0,0,0.0,1.52,0.0
BR_H00004,historical,2025-11-15 00:00:00,2025-11-15,0,USER_H00004,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Instagram Stories,mobile,Arizona,35-44,female,prospecting,fall,4,2,1,1,1,0.0,101.4,0,0,0,0,0,0.0,1.68,0.0
BR_H00005,historical,2025-11-15 00:00:00,2025-11-15,0,USER_H00005,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Facebook Reels,mobile,Arizona,35-44,male,interest_based,fall,4,3,2,1,1,0.0,127.1,1,1,1,1,1,1.0,3.91,10.79
BR_H00006,historical,2025-11-15 00:00:00,2025-11-15,0,USER_H00006,CAMP_META_HIST_01,cereal campaign,AS_002,Chocolate Ad Set,AD_002,Chocolate Creative 1,chocolate,Instagram Feed,desktop,Arizona,25-34,male,retargeting,fall,4,1,1,0,0,0.0,0.0,0,0,0,0,0,0.0,5.11,0.0
BR_H00007,historical,2025-11-15 00:00:00,2025-11-15,0,USER_H00007,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Instagram Stories,mobile,Nevada,25-34,male,website_visitors,fall,5,3,2,2,2,0.0,98.1,0,0,0,0,0,0.0,2.83,0.0
BR_H00008,historical,2025-11-15 00:00:00,2025-11-15,0,USER_H00008,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Facebook Reels,mobile,Arizona,18-24,female,interest_based,fall,3,3,2,2,2,0.0,143.5,0,0,0,0,0,0.0,3.76,0.0
BR_H00009,historical,2025-11-15 00:00:00,2025-11-15,0,USER_H00009,CAMP_META_HIST_01,cereal campaign,AS_003,Vanilla Ad Set,AD_003,Vanilla Creative 1,vanilla,Instagram Feed,desktop,Nevada,18-24,female,retargeting,fall,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2.32,0.0
BR_H00010,historical,2025-11-15 01:00:00,2025-11-15,1,USER_H00010,CAMP_META_HIST_01,cereal campaign,AS_001,Strawberry Ad Set,AD_001,Strawberry Creative 1,strawberry,Instagram Feed,desktop,Texas,35-44,female,interest_based,fall,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2.76,0.0
